Player,Actual,Career Att,Career Rush Yards,Career Rush Avg,Career Rush TD,Career Rec,Career Rec Yards,Career Rec Avg,Career Rec TD,Career Touches,Career Scrimmage Yards,Career yards/touch,Career TOT TDs,Last Season Att,Last Season Rush Yards,Last Season Rush Avg,Last Season Rush TD,Last Season Rec,Last Season Rec Yards,Last Season Rec Avg,Last Season Rec TD,Last Season Touches,Last Season Scrimmage Yards,Last Season Yards/Touch,Last Season TOT TDs
Tyler Boyd,126.1,1.657894737,13.68421053,8.253968254,0.026315789,6.684210526,88.44736842,13.23228346,0.552631579,8.342105263,102.1315789,12.24290221,0.578947368,3.471491228,29.08333333,8.37776374,0,7.583333333,77.16666667,10.17582418,0.5,10.91666667,106.25,9.732824427,0.5
Will Fuller,122.2,0.0625,0.25,4,0,4.5,78.5,17.44444444,0.9375,4.5625,78.75,17.26027397,0.9375,0.004807692,0,0,0,4.769230769,96.76923077,20.29032258,1.076923077,4.769230769,96.76923077,20.29032258,1.076923077
Nyheim Hines,160.9,6.789473684,36.84210526,5.426356589,0.342105263,2.342105263,24.55263158,10.48314607,0.026315789,9.131578947,61.39473684,6.723342939,0.368421053,15.15384615,85.61538462,5.649746193,0.923076923,2.180161943,11.69230769,5.363045497,0,17.15384615,97.30769231,5.67264574,0.923076923
Gus Edwards ,87.8,8.536585366,41.2195122,4.828571429,0.43902439,0.390243902,3.804878049,9.75,0.024390244,8.926829268,45.02439024,5.043715847,0.463414634,13.66666667,59.41666667,4.347560976,0.5,1.115853659,8.583333333,7.692167577,0.083333333,14.75,68,4.610169492,0.583333333
Jarvis Landry ,189.4,0,0,0,0,3.425,45.225,13.20437956,0.375,3.425,45.225,13.20437956,0.375,0,0,0,0,5.923076923,91.76923077,15.49350649,0.769230769,5.923076923,91.76923077,15.49350649,0.769230769
Michael Gallup,95.7,0.153846154,0.576923077,3.75,0,6.769230769,103.4615385,15.28409091,0.807692308,6.923076923,104.0384615,15.02777778,0.807692308,0.01183432,0,0,0,7.692307692,109.0769231,14.18,0.538461538,7.692307692,109.0769231,14.18,0.538461538
Todd Gurley,210.4,17,109.5,6.441176471,1.2,2.166666667,20.5,9.461538462,0.2,19.16666667,130,6.782608696,1.4,20.5,151.8333333,7.406504065,1.5,2.361111111,9.5,4.023529412,0,22.5,161.3333333,7.17037037,1.5
Chris Godwin,92.5,0.076923077,0.358974359,4.666666667,0,3.948717949,62.07692308,15.72077922,0.461538462,4.025641026,62.43589744,15.50955414,0.461538462,0.082840237,1,12.07142857,0,4.538461538,75.53846154,16.6440678,0.846153846,4.615384615,76.53846154,16.58333333,0.846153846
Latavius Murray,85.7,10.06666667,53.86666667,5.350993377,0.822222222,1.111111111,11.64444444,10.48,0.133333333,11.17777778,65.51111111,5.86083499,0.955555556,18,100.5454545,5.585858586,1.363636364,2.555555556,21,8.217391304,0.363636364,20.45454545,121.5454545,5.942222222,1.727272727
JuJu Smith-Schuster,191.7,0.2,0.85,4.25,0,5.325,77.3,14.51643192,0.625,5.525,78.15,14.14479638,0.625,0.4,2.076923077,5.192307692,0,5.384615385,70.30769231,13.05714286,0.769230769,5.769230769,72.38461538,12.54666667,0.769230769
Wayne Gallman,106.9,16.07142857,81.33333333,5.060740741,0.80952381,1.571428571,11.57142857,7.363636364,0.047619048,17.64285714,92.9047619,5.26585695,0.857142857,15.46666667,75.53333333,4.88362069,1.133333333,1.438095238,10.13333333,7.046357616,0,16.8,85.66666667,5.099206349,1.133333333
Russell Gage,12.3,1.333333333,11.04761905,8.285714286,0.047619048,1.238095238,16.52380952,13.34615385,0.19047619,2.571428571,27.57142857,10.72222222,0.238095238,2.153846154,17.84615385,8.285714286,0.076923077,1.710622711,21.92307692,12.81584582,0.230769231,3.769230769,39.76923077,10.55102041,0.307692308
DeVante Parker,93.4,0,0,0,0,3.714285714,66.07142857,17.78846154,0.785714286,3.714285714,66.07142857,17.78846154,0.785714286,0,0,0,0,7.166666667,142.5,19.88372093,0.833333333,7.166666667,142.5,19.88372093,0.833333333
Darrell Henderson,22.4,11.34210526,93.28947368,8.225058005,0.947368421,1.657894737,19.94736842,12.03174603,0.210526316,13,113.2368421,8.710526316,1.157894737,16.46153846,146.8461538,8.920560748,1.692307692,1.589068826,22.69230769,14.28025478,0.230769231,17.92307692,169.5384615,9.459227468,1.923076923
Giovani Bernard,224.9,18.39130435,107.8695652,5.865248227,1.086956522,4,37.04347826,9.260869565,0.260869565,22.39130435,144.9130435,6.47184466,1.347826087,18.4,122.8,6.673913043,1.2,5.1,49,9.607843137,0.5,23.1,171.8,7.437229437,1.7
